experiment_id,timestamp,repository,model,training_success,duration_seconds,retries,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_loss,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent
MRT-OAST_default_001,2025-11-16T22:23:58.229094,MRT-OAST,default,True,1286.915236711502,0,,,0.2,10,,0.0001,,1334,0.0,4692.0,,,0.9791,,,0.8917,,,37506.68,2957.78,40464.46,254.5629991980756,318.04,68.67,317440.0600000003,78.50040096230954,84.0,92.91740176423416,100.0
bug-localization-by-dnn-and-rvsm_default_002,2025-11-16T22:40:17.637858,bug-localization-by-dnn-and-rvsm,default,True,919.3961427211761,0,1e-05,,,,10,,10000,42,,,,,,,,,,,60019.91,2282.73,62302.64,75.38239344262294,85.06,45.41,22991.629999999997,56.26229508196721,64.0,0.6754098360655738,3.0
pytorch_resnet_cifar10_resnet20_003,2025-11-16T23:00:02.740638,pytorch_resnet_cifar10,resnet20,True,1125.0899832248688,0,,,,200,,0.1,,,0.0001,,91.74,,,,,,91.74,,47678.84,3051.65,50730.49,221.63735347985354,244.24,71.54,242027.99000000008,77.42032967032966,80.0,54.116300366300365,66.0
VulBERTa_mlp_004,2025-11-16T23:54:09.086567,VulBERTa,mlp,True,3186.2751743793488,0,,,,10,,3e-05,,42,0.0,,,,,,,,,,90843.2,7312.07,98155.27,224.9697680412369,318.88,5.07,698306.1599999993,77.8443943298969,83.0,88.98904639175258,100.0
Person_reID_baseline_pytorch_densenet121_005,2025-11-17T00:31:25.911498,Person_reID_baseline_pytorch,densenet121,True,2176.421905517578,0,,,0.5,60,,0.05,,,,,,0.743612,,0.899644,0.967637,,,,72700.26,5807.41,78507.67,247.67104068117266,278.72,14.26,523576.57999999897,82.44891201513718,85.0,72.29801324503312,84.0
Person_reID_baseline_pytorch_hrnet18_006,2025-11-17T01:40:14.383766,Person_reID_baseline_pytorch,hrnet18,True,4067.934142589569,0,,,0.5,60,,0.05,,,,,,0.729262,,0.893705,0.956948,,,,127909.2,10474.32,138383.52,242.65392117230914,257.54,14.1,960424.2199999996,82.3456291056089,84.0,64.96614451743305,76.0
Person_reID_baseline_pytorch_pcb_007,2025-11-17T02:48:26.598667,Person_reID_baseline_pytorch,pcb,True,4031.8068141937256,0,,,0.5,60,,0.05,,,,,,0.773408,,0.925772,0.974169,,,,134130.12,10532.99,144663.11,227.4898495665479,319.17,9.92,892215.1900000009,77.79347271800101,84.0,96.74451810300867,100.0
examples_mnist_008,2025-11-17T02:51:47.167025,examples,mnist,True,140.56277680397034,0,,32,,10,,0.01,,1,,,,,,,,,96.0,0.1204,4441.3,333.66,4774.96,96.16134328358208,98.21,75.92,12885.619999999999,66.48507462686567,67.0,12.335820895522389,14.0
examples_mnist_rnn_009,2025-11-17T02:56:38.925217,examples,mnist_rnn,True,231.7525451183319,0,,32,,10,,0.01,,1,,,,,,,,,60.0,1.3176,9381.33,567.25,9948.58,9.797309417040347,85.35,4.2,2184.7999999999975,52.2017937219731,63.0,0.017937219730941704,3.0
examples_mnist_ff_010,2025-11-17T02:57:46.526162,examples,mnist_ff,True,7.599489212036133,0,,32,,10,,0.01,,1,,,,,,,,,,,191.89,16.16,208.05,76.184,81.57,70.78,380.92,50.6,52.0,2.4,9.0
examples_siamese_011,2025-11-17T03:03:54.150840,examples,siamese,True,307.6189749240875,0,,32,,10,,0.01,,1,,,,,,,,,98.0,0.0,9557.88,731.11,10288.99,172.88946308724843,178.69,71.07,51521.060000000034,69.52684563758389,74.0,49.73489932885906,52.0
