experiment_id,timestamp,repository,model,training_success,duration_seconds,retries,hyperparam_batch_size,hyperparam_batchsize,hyperparam_epochs,perf_map,perf_rank1,perf_rank5,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent
VulBERTa_mlp_001,2025-11-26T19:04:48.746120,VulBERTa,mlp,True,1625.4767198562622,1,,,5,,,,48717.68,3756.14,52473.82,241.23193670886056,319.26,3.66,381146.4599999997,77.03670886075949,83.0,85.57658227848101,100.0
VulBERTa_mlp_002,2025-11-26T19:33:04.440474,VulBERTa,mlp,True,1632.547147989273,0,,,5,,,,47655.16,3709.01,51364.17,226.20392947103295,319.35,4.64,359211.8400000003,77.92317380352645,84.0,86.70969773299748,100.0
examples_mnist_ff_003,2025-11-26T19:34:33.802564,examples,mnist_ff,True,26.327861309051514,0,10000,,5,,,,596.5,48.56,645.06,80.36611111111111,92.72,74.89,1446.59,61.833333333333336,63.0,0.3333333333333333,5.0
examples_mnist_ff_004,2025-11-26T19:35:48.590412,examples,mnist_ff,True,11.75415587425232,0,10000,,5,,,,311.65,25.13,336.78,82.9388888888889,92.75,74.86,746.45,61.77777777777778,63.0,0.7777777777777778,5.0
VulBERTa_mlp_005,2025-11-26T20:14:32.358644,VulBERTa,mlp,True,2260.6390788555145,0,,,7,,,,65565.5,5179.18,70744.68,227.80206363636384,319.28,4.94,501164.54000000044,78.12181818181818,84.0,87.53636363636363,100.0
VulBERTa_mlp_006,2025-11-26T20:53:28.297967,VulBERTa,mlp,True,2272.861826658249,0,,,7,,,,66074.3,5139.55,71213.85,221.17161465400326,319.02,4.7,489010.4400000012,78.23473541383989,84.0,87.7345092718227,100.0
Person_reID_baseline_pytorch_pcb_007,2025-11-26T21:00:39.151086,Person_reID_baseline_pytorch,pcb,True,367.79777812957764,0,,16,3,0.656664,0.859857,0.944477,12049.78,924.13,12973.91,224.11837209302314,316.97,8.96,77096.71999999996,77.33720930232558,84.0,75.26162790697674,99.0
Person_reID_baseline_pytorch_pcb_008,2025-11-26T21:07:21.839135,Person_reID_baseline_pytorch,pcb,True,339.6336078643799,0,,16,3,0.660476,0.859561,0.945368,11434.77,877.23,12312.0,237.42012383900914,317.0,13.76,76686.69999999995,78.58513931888545,84.0,79.3498452012384,100.0
VulBERTa_mlp_009,2025-11-26T21:35:31.295912,VulBERTa,mlp,True,1626.3926482200623,0,,,5,,,,47343.75,3673.5,51017.25,225.4898988621997,319.11,4.91,356725.01999999996,78.07838179519595,84.0,87.00379266750949,100.0
VulBERTa_mlp_010,2025-11-26T22:03:44.514783,VulBERTa,mlp,True,1630.1521534919739,0,,,5,,,,47393.83,3665.94,51059.77,225.0872068095839,319.63,4.9,356988.31000000006,78.15447667087011,84.0,86.82786885245902,100.0
