source,target,strength,edge_type,is_significant,strength_level,source_category,target_category,question_relevance,interpretation
hyperparam_epochs_x_is_parallel,hyperparam_seed,1.0,moderation,yes,very_strong,interaction,hyperparam,other,并行模式调节epochs对seed的效应
hyperparam_epochs,hyperparam_seed,1.0,irrelevant,yes,very_strong,hyperparam,hyperparam,other,epochs → seed
energy_gpu_max_watts,hyperparam_seed,1.0,irrelevant,yes,very_strong,mediator,hyperparam,other,gpu_max_watts → seed
perf_recall,hyperparam_seed,1.0,irrelevant,yes,very_strong,performance,hyperparam,other,recall → seed
perf_precision,hyperparam_seed,1.0,irrelevant,yes,very_strong,performance,hyperparam,other,precision → seed
hyperparam_learning_rate_x_is_parallel,hyperparam_seed,1.0,moderation,yes,very_strong,interaction,hyperparam,other,并行模式调节learning_rate对seed的效应
energy_cpu_total_joules,hyperparam_seed,1.0,irrelevant,yes,very_strong,energy,hyperparam,other,cpu_total_joules → seed
energy_gpu_total_joules,hyperparam_seed,1.0,irrelevant,yes,very_strong,energy,hyperparam,other,gpu_total_joules → seed
energy_gpu_min_watts,hyperparam_seed,1.0,irrelevant,yes,very_strong,mediator,hyperparam,other,gpu_min_watts → seed
hyperparam_l2_regularization_x_is_parallel,hyperparam_seed,1.0,moderation,yes,very_strong,interaction,hyperparam,other,并行模式调节l2_regularization对seed的效应
hyperparam_learning_rate,hyperparam_seed,1.0,irrelevant,yes,very_strong,hyperparam,hyperparam,other,learning_rate → seed
perf_accuracy,hyperparam_seed,1.0,irrelevant,yes,very_strong,performance,hyperparam,other,accuracy → seed
energy_gpu_util_max_percent,hyperparam_seed,1.0,irrelevant,yes,very_strong,mediator,hyperparam,other,gpu_util_max_percent → seed
energy_gpu_temp_max_celsius,hyperparam_seed,1.0,irrelevant,yes,very_strong,mediator,hyperparam,other,gpu_temp_max_celsius → seed
hyperparam_dropout,hyperparam_seed,1.0,irrelevant,yes,very_strong,hyperparam,hyperparam,other,dropout → seed
hyperparam_dropout_x_is_parallel,hyperparam_seed,1.0,moderation,yes,very_strong,interaction,hyperparam,other,并行模式调节dropout对seed的效应
is_parallel,hyperparam_seed,1.0,mode_effect,yes,very_strong,mode,hyperparam,other,is_parallel → seed
energy_gpu_util_avg_percent,hyperparam_seed,1.0,irrelevant,yes,very_strong,mediator,hyperparam,other,gpu_util_avg_percent → seed
energy_cpu_ram_joules,hyperparam_seed,1.0,irrelevant,yes,very_strong,energy,hyperparam,other,cpu_ram_joules → seed
energy_cpu_pkg_joules,hyperparam_seed,1.0,irrelevant,yes,very_strong,energy,hyperparam,other,cpu_pkg_joules → seed
hyperparam_l2_regularization,hyperparam_seed,1.0,irrelevant,yes,very_strong,hyperparam,hyperparam,other,l2_regularization → seed
energy_gpu_temp_avg_celsius,hyperparam_seed,1.0,irrelevant,yes,very_strong,mediator,hyperparam,other,gpu_temp_avg_celsius → seed
energy_gpu_avg_watts,hyperparam_seed,1.0,irrelevant,yes,very_strong,mediator,hyperparam,other,gpu_avg_watts → seed
hyperparam_epochs_x_is_parallel,perf_recall,0.6000000238418579,moderation,yes,very_strong,interaction,performance,other,并行模式调节epochs对recall的效应
hyperparam_epochs,energy_gpu_max_watts,0.550000011920929,main_effect,yes,very_strong,hyperparam,mediator,other,epochs直接影响gpu_max_watts
energy_cpu_total_joules,is_parallel,0.550000011920929,irrelevant,yes,very_strong,energy,mode,other,cpu_total_joules → is_parallel
energy_cpu_total_joules,energy_gpu_min_watts,0.550000011920929,mediator,yes,very_strong,energy,mediator,Q3,cpu_total_joules通过某种机制影响gpu_min_watts
hyperparam_epochs,energy_gpu_min_watts,0.5,main_effect,yes,strong,hyperparam,mediator,other,epochs直接影响gpu_min_watts
hyperparam_epochs_x_is_parallel,energy_gpu_min_watts,0.5,moderation,yes,strong,interaction,mediator,other,并行模式调节epochs对gpu_min_watts的效应
energy_cpu_ram_joules,energy_gpu_util_avg_percent,0.5,mediator,yes,strong,energy,mediator,Q3,cpu_ram_joules通过某种机制影响gpu_util_avg_percent
hyperparam_l2_regularization_x_is_parallel,hyperparam_l2_regularization,0.45000001788139343,moderation,yes,strong,interaction,hyperparam,other,并行模式调节l2_regularization对l2_regularization的效应
hyperparam_dropout,perf_precision,0.45000001788139343,main_effect,yes,strong,hyperparam,performance,other,dropout直接影响precision
