source,target,strength,edge_type,is_significant,strength_level,source_category,target_category,question_relevance,interpretation
is_parallel,hyperparam_seed,1.0,mode_effect,yes,very_strong,mode,hyperparam,other,is_parallel → seed
hyperparam_epochs,hyperparam_seed,1.0,irrelevant,yes,very_strong,hyperparam,hyperparam,other,epochs → seed
hyperparam_l2_regularization,hyperparam_seed,1.0,irrelevant,yes,very_strong,hyperparam,hyperparam,other,l2_regularization → seed
energy_gpu_avg_watts,hyperparam_seed,1.0,irrelevant,yes,very_strong,mediator,hyperparam,other,gpu_avg_watts → seed
energy_gpu_temp_avg_celsius,hyperparam_seed,1.0,irrelevant,yes,very_strong,mediator,hyperparam,other,gpu_temp_avg_celsius → seed
perf_eval_loss,hyperparam_seed,1.0,irrelevant,yes,very_strong,performance,hyperparam,other,eval_loss → seed
energy_gpu_temp_max_celsius,hyperparam_seed,1.0,irrelevant,yes,very_strong,mediator,hyperparam,other,gpu_temp_max_celsius → seed
energy_gpu_util_avg_percent,hyperparam_seed,1.0,irrelevant,yes,very_strong,mediator,hyperparam,other,gpu_util_avg_percent → seed
hyperparam_learning_rate,hyperparam_seed,1.0,irrelevant,yes,very_strong,hyperparam,hyperparam,other,learning_rate → seed
energy_gpu_min_watts,hyperparam_seed,1.0,irrelevant,yes,very_strong,mediator,hyperparam,other,gpu_min_watts → seed
energy_gpu_max_watts,hyperparam_seed,1.0,irrelevant,yes,very_strong,mediator,hyperparam,other,gpu_max_watts → seed
perf_eval_samples_per_second,hyperparam_seed,1.0,irrelevant,yes,very_strong,performance,hyperparam,other,eval_samples_per_second → seed
hyperparam_learning_rate_x_is_parallel,hyperparam_seed,1.0,moderation,yes,very_strong,interaction,hyperparam,other,并行模式调节learning_rate对seed的效应
energy_cpu_ram_joules,hyperparam_seed,1.0,irrelevant,yes,very_strong,energy,hyperparam,other,cpu_ram_joules → seed
perf_final_training_loss,hyperparam_seed,1.0,irrelevant,yes,very_strong,performance,hyperparam,other,final_training_loss → seed
hyperparam_l2_regularization_x_is_parallel,hyperparam_seed,1.0,moderation,yes,very_strong,interaction,hyperparam,other,并行模式调节l2_regularization对seed的效应
hyperparam_epochs_x_is_parallel,hyperparam_seed,1.0,moderation,yes,very_strong,interaction,hyperparam,other,并行模式调节epochs对seed的效应
