source,target,strength,edge_type,is_significant,strength_level,source_category,target_category,question_relevance,interpretation,ate,ci_lower,ci_upper,ate_computed,error_message
hyperparam_epochs_x_is_parallel,perf_recall,0.6000000238418579,moderation,False,very_strong,interaction,performance,other,并行模式调节epochs对recall的效应,-0.007573749999999824,-0.052654010293249724,0.03750651029325008,True,
hyperparam_epochs,energy_gpu_max_watts,0.550000011920929,main_effect,False,very_strong,hyperparam,mediator,other,epochs直接影响gpu_max_watts,0.2965454545454804,-0.6665986451748527,1.2596895542658135,True,
hyperparam_epochs,energy_gpu_min_watts,0.5,main_effect,False,strong,hyperparam,mediator,other,epochs直接影响gpu_min_watts,6.663333333333355,-0.9632475829028975,14.289914249569609,True,
hyperparam_epochs_x_is_parallel,energy_gpu_min_watts,0.5,moderation,False,strong,interaction,mediator,other,并行模式调节epochs对gpu_min_watts的效应,4.907214285714289,-6.691922975457613,16.506351546886194,True,
hyperparam_dropout,perf_precision,0.4500000178813934,main_effect,False,strong,hyperparam,performance,other,dropout直接影响precision,-0.0038086516666665515,-0.047007066969470046,0.03938976363613694,True,
energy_gpu_temp_avg_celsius,energy_gpu_util_avg_percent,0.4500000178813934,mediator,True,strong,mediator,mediator,Q3,gpu_temp_avg_celsius通过某种机制影响gpu_util_avg_percent,1.6975994347102414,1.2112649215208613,2.1839339478996216,True,
hyperparam_epochs_x_is_parallel,energy_gpu_util_max_percent,0.4500000178813934,moderation,True,strong,interaction,mediator,other,并行模式调节epochs对gpu_util_max_percent的效应,1.721428571428575,1.199213488735062,2.243643654122088,True,
energy_gpu_util_avg_percent,energy_gpu_min_watts,0.4500000178813934,mediator,True,strong,mediator,mediator,Q3,gpu_util_avg_percent通过某种机制影响gpu_min_watts,24.10722222222222,15.16814561350344,33.046298830941,True,
energy_cpu_ram_joules,energy_gpu_total_joules,0.4500000178813934,mediator,True,strong,energy,energy,Q3,cpu_ram_joules通过某种机制影响gpu_total_joules,114125.82861111115,88542.96955092691,139708.6876712954,True,
hyperparam_learning_rate,perf_recall,0.4500000178813934,main_effect,True,strong,hyperparam,performance,other,learning_rate直接影响recall,0.053396447619047493,0.013960674755328105,0.09283222048276688,True,
hyperparam_dropout,perf_recall,0.4500000178813934,main_effect,False,strong,hyperparam,performance,other,dropout直接影响recall,-0.03528339166666672,-0.07495253072495259,0.004385747391619142,True,
hyperparam_learning_rate_x_is_parallel,perf_recall,0.4500000178813934,moderation,False,strong,interaction,performance,other,并行模式调节learning_rate对recall的效应,-0.022293449999999826,-0.06661664499791572,0.022029744997916066,True,
