experiment_id,timestamp,repository,model,training_success,duration_seconds,retries,hyperparam_dropout,hyperparam_epochs,hyperparam_learning_rate,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent
Person_reID_baseline_pytorch_densenet121_001,2025-11-15T19:45:25.239784,Person_reID_baseline_pytorch,densenet121,True,3263.6339955329895,0,0.5,60,0.025,1334,,,,0.729498,,0.894299,0.956651,,,108907.22,8777.4,117684.62,233.0611349306431,290.12,10.71,739269.9199999999,77.81525851197982,83.0,83.11317780580076,99.0
Person_reID_baseline_pytorch_densenet121_002,2025-11-15T20:41:13.183673,Person_reID_baseline_pytorch,densenet121,True,3287.5110323429108,0,0.5,60,0.1,1334,,,,0.622899,,0.829869,0.938836,,,109737.79,8793.76,118531.55,225.16800563556686,290.71,10.98,719186.6100000006,78.16562304320601,83.0,84.21164683782091,99.0
pytorch_resnet_cifar10_resnet20_003,2025-11-15T21:01:22.611573,pytorch_resnet_cifar10,resnet20,True,1149.415284395218,0,,200,0.05,1334,,,91.22,,,,,,91.23,49139.13,3110.27,52249.4,235.68918385650224,259.89,76.99,262793.44,80.91210762331839,83.0,59.4,74.0
pytorch_resnet_cifar10_resnet20_004,2025-11-15T21:21:30.894964,pytorch_resnet_cifar10,resnet20,True,1148.2717025279999,0,,200,0.2,1334,,,92.18,,,,,,92.17,49182.1,3085.85,52267.95,228.58511669658918,250.33,77.29,254643.82000000036,80.08527827648115,82.0,59.63375224416517,74.0
pytorch_resnet_cifar10_resnet20_005,2025-11-15T21:41:43.700593,pytorch_resnet_cifar10,resnet20,True,1152.793926000595,0,,200,0.1,1334,1e-05,,90.76,,,,,,90.75,49351.4,3100.29,52451.69,231.93310991957122,252.91,77.64,259533.1500000002,80.88114387846291,82.0,59.00983020554066,74.0
pytorch_resnet_cifar10_resnet20_006,2025-11-15T22:02:00.381199,pytorch_resnet_cifar10,resnet20,True,1156.6691119670868,0,,200,0.1,1334,0.01,,34.24,,,,,,34.24,49437.62,3116.2,52553.82,209.11125668449188,237.25,77.41,234622.8299999999,78.71657754010695,82.0,59.046345811051694,74.0
MRT-OAST_default_007,2025-11-15T22:24:52.531278,MRT-OAST,default,True,1312.0829963684082,0,0.2,10,5e-05,1334,,4448.0,,,0.9606,,,0.805,,39360.94,3058.31,42419.25,233.25958267716535,316.4,76.89,296239.67,78.76929133858268,84.0,92.84488188976378,99.0
MRT-OAST_default_008,2025-11-15T22:47:45.430007,MRT-OAST,default,True,1312.8334391117096,0,0.2,10,0.0002,1334,,4903.0,,,0.9957,,,0.964,,39566.44,3048.4,42614.84,233.40894654088058,316.84,77.02,296896.1800000001,78.85849056603773,84.0,92.93238993710692,100.0
MRT-OAST_default_009,2025-11-15T23:09:58.403969,MRT-OAST,default,True,1272.9088451862335,0,0.0,10,0.0001,1334,,4959.0,,,0.9992,,,0.9839,,38364.48,2953.94,41318.42,239.69391727493874,315.51,76.94,295542.59999999945,79.99107866991079,84.0,92.4963503649635,97.0
MRT-OAST_default_010,2025-11-15T23:32:46.865852,MRT-OAST,default,True,1308.3969469070435,0,0.4,10,0.0001,1334,,4428.0,,,0.9468,,,0.8091,,39541.35,3058.47,42599.82,235.38873028391166,317.33,76.95,298472.91,79.47239747634069,84.0,92.72870662460568,97.0
MRT-OAST_default_011,2025-11-15T23:55:44.433637,MRT-OAST,default,True,1317.50297498703,0,0.2,10,0.0001,1334,1e-05,4681.0,,,0.9803,,,0.886,,39678.24,3083.57,42761.81,234.0215517241378,317.87,76.8,298611.4999999998,79.02351097178683,84.0,92.61128526645768,100.0
MRT-OAST_default_012,2025-11-16T00:18:36.787972,MRT-OAST,default,True,1312.288991689682,0,0.2,10,0.0001,1334,0.01,4236.0,,,0.9414,,,0.7298,,39397.8,3071.84,42469.64,235.98503540519275,315.54,77.0,299936.98,79.43115656963022,84.0,92.69315499606608,97.0
VulBERTa_mlp_013,2025-11-16T01:13:09.850124,VulBERTa,mlp,True,3212.922306060791,0,,10,3e-05,1334,1e-05,,,,,,,,,94691.6,7438.23,102129.83,229.5672401662931,319.2,5.1,717856.7599999985,78.35241445474897,83.0,88.83946274384394,100.0
VulBERTa_mlp_014,2025-11-16T02:07:53.733466,VulBERTa,mlp,True,3223.750532388687,0,,10,3e-05,1334,0.01,,,,,,,,,95077.28,7479.89,102557.17,228.329885167464,319.14,4.86,715814.1899999996,77.91068580542264,84.0,88.4749601275917,100.0
