source,target,weight
energy_cpu_pkg_joules,energy_cpu_ram_joules,0.4699999988079071
energy_cpu_pkg_joules,energy_cpu_total_joules,0.5299999713897705
energy_cpu_pkg_joules,is_parallel,0.699999988079071
energy_cpu_ram_joules,energy_cpu_pkg_joules,0.5199999809265137
energy_cpu_ram_joules,energy_cpu_total_joules,0.47999998927116394
energy_cpu_ram_joules,energy_gpu_total_joules,0.5600000023841858
energy_cpu_ram_joules,is_parallel,0.6699999570846558
energy_cpu_ram_joules,perf_eval_loss,0.5299999713897705
energy_cpu_total_joules,energy_cpu_pkg_joules,0.5
energy_cpu_total_joules,energy_cpu_ram_joules,0.4899999797344208
energy_cpu_total_joules,is_parallel,0.7199999690055847
energy_gpu_avg_watts,energy_cpu_ram_joules,0.47999998927116394
energy_gpu_avg_watts,energy_gpu_total_joules,0.7999999523162842
energy_gpu_avg_watts,energy_gpu_temp_avg_celsius,0.5799999833106995
energy_gpu_avg_watts,energy_gpu_util_avg_percent,0.3499999940395355
energy_gpu_avg_watts,is_parallel,0.6499999761581421
energy_gpu_avg_watts,hyperparam_learning_rate_x_is_parallel,0.3199999928474426
energy_gpu_max_watts,energy_gpu_avg_watts,0.7699999809265137
energy_gpu_max_watts,energy_gpu_min_watts,0.38999998569488525
energy_gpu_max_watts,energy_gpu_temp_avg_celsius,0.8100000023841858
energy_gpu_max_watts,energy_gpu_temp_max_celsius,0.6800000071525574
energy_gpu_max_watts,energy_gpu_util_avg_percent,0.8899999856948853
energy_gpu_max_watts,energy_gpu_util_max_percent,0.5600000023841858
energy_gpu_max_watts,hyperparam_learning_rate,0.429999977350235
energy_gpu_max_watts,hyperparam_epochs,0.7899999618530273
energy_gpu_min_watts,energy_gpu_avg_watts,0.6599999666213989
energy_gpu_min_watts,energy_gpu_util_avg_percent,0.7400000095367432
energy_gpu_min_watts,is_parallel,0.7099999785423279
energy_gpu_min_watts,perf_eval_samples_per_second,0.550000011920929
energy_gpu_total_joules,energy_cpu_ram_joules,0.4399999976158142
energy_gpu_total_joules,energy_cpu_total_joules,0.4099999964237213
energy_gpu_total_joules,is_parallel,0.6899999976158142
energy_gpu_total_joules,perf_eval_loss,0.38999998569488525
energy_gpu_temp_avg_celsius,energy_gpu_avg_watts,0.3700000047683716
energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,0.3400000035762787
energy_gpu_temp_avg_celsius,energy_gpu_util_avg_percent,0.4899999797344208
energy_gpu_temp_avg_celsius,is_parallel,0.6599999666213989
energy_gpu_temp_avg_celsius,hyperparam_epochs,0.4099999964237213
energy_gpu_temp_max_celsius,energy_gpu_temp_avg_celsius,0.6599999666213989
energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,0.8799999952316284
energy_gpu_temp_max_celsius,energy_gpu_util_max_percent,0.3799999952316284
energy_gpu_temp_max_celsius,is_parallel,0.3799999952316284
energy_gpu_temp_max_celsius,hyperparam_epochs,0.6200000047683716
energy_gpu_temp_max_celsius,hyperparam_learning_rate_x_is_parallel,0.5999999642372131
energy_gpu_temp_max_celsius,hyperparam_epochs_x_is_parallel,0.5
energy_gpu_util_avg_percent,energy_cpu_pkg_joules,0.3400000035762787
energy_gpu_util_avg_percent,energy_cpu_total_joules,0.3100000023841858
energy_gpu_util_avg_percent,energy_gpu_total_joules,0.3999999761581421
energy_gpu_util_max_percent,energy_gpu_avg_watts,0.6699999570846558
energy_gpu_util_max_percent,energy_gpu_max_watts,0.4399999976158142
energy_gpu_util_max_percent,energy_gpu_temp_avg_celsius,0.6800000071525574
energy_gpu_util_max_percent,energy_gpu_temp_max_celsius,0.6299999952316284
energy_gpu_util_max_percent,energy_gpu_util_avg_percent,0.9099999666213989
energy_gpu_util_max_percent,hyperparam_learning_rate,0.41999998688697815
energy_gpu_util_max_percent,hyperparam_epochs,0.7199999690055847
is_parallel,energy_gpu_temp_avg_celsius,0.3199999928474426
is_parallel,energy_gpu_util_avg_percent,0.5899999737739563
is_parallel,hyperparam_learning_rate_x_is_parallel,0.3400000035762787
is_parallel,hyperparam_epochs_x_is_parallel,0.6200000047683716
hyperparam_learning_rate,energy_gpu_avg_watts,0.7899999618530273
hyperparam_learning_rate,energy_gpu_max_watts,0.5699999928474426
hyperparam_learning_rate,energy_gpu_min_watts,0.3799999952316284
hyperparam_learning_rate,energy_gpu_temp_avg_celsius,0.7799999713897705
hyperparam_learning_rate,energy_gpu_temp_max_celsius,0.699999988079071
hyperparam_learning_rate,energy_gpu_util_avg_percent,0.7899999618530273
hyperparam_learning_rate,energy_gpu_util_max_percent,0.5799999833106995
hyperparam_learning_rate,hyperparam_epochs,0.75
hyperparam_learning_rate,perf_eval_samples_per_second,0.429999977350235
hyperparam_epochs,energy_gpu_temp_avg_celsius,0.44999998807907104
hyperparam_epochs,energy_gpu_util_avg_percent,0.7400000095367432
hyperparam_epochs,is_parallel,0.4899999797344208
hyperparam_l2_regularization,hyperparam_l2_regularization_x_is_parallel,0.4399999976158142
perf_eval_samples_per_second,energy_gpu_min_watts,0.44999998807907104
hyperparam_learning_rate_x_is_parallel,energy_gpu_avg_watts,0.4399999976158142
hyperparam_learning_rate_x_is_parallel,is_parallel,0.5999999642372131
hyperparam_epochs_x_is_parallel,perf_eval_samples_per_second,0.3400000035762787
hyperparam_l2_regularization_x_is_parallel,hyperparam_l2_regularization,0.5299999713897705
