,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,model_mnist_ff,model_mnist_rnn,model_siamese,hyperparam_batch_size,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,perf_test_accuracy,hyperparam_l2_regularization,model_hrnet18,model_pcb,hyperparam_dropout,hyperparam_alpha,hyperparam_kfold,hyperparam_max_iter
energy_cpu_pkg_joules,0.0,0.19000001,0.16,0.05,0.01,0.04,0.11,0.030000001,0.05,0.120000005,0.030000001,0.2,0.0,0.080000006,0.17,0.11,0.17999999,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_cpu_ram_joules,0.19,0.0,0.22,0.07,0.04,0.16,0.18,0.07,0.07,0.17,0.01,0.16,0.05,0.1,0.2,0.13000001,0.17,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_cpu_total_joules,0.25,0.24000001,0.0,0.05,0.01,0.02,0.23000002,0.05,0.030000001,0.18,0.05,0.13000001,0.02,0.07,0.07000001,0.17999999,0.11,0.0,0.18999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_avg_watts,0.0,0.01,0.01,0.0,0.29000002,0.19000001,0.0,0.32,0.28,0.23000002,0.22999999,0.0,0.2,0.04,0.0,0.0,0.0,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_max_watts,0.0,0.0,0.0,0.17,0.0,0.1,0.01,0.14000002,0.18,0.22,0.34,0.01,0.01,0.0,0.3,0.0,0.0,0.060000002,0.19000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_min_watts,0.030000001,0.0,0.01,0.05,0.05,0.0,0.02,0.08,0.05,0.41000003,0.07,0.0,0.07,0.02,0.030000001,0.0,0.0,0.07,0.120000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_total_joules,0.2,0.17999999,0.19000001,0.1,0.030000001,0.060000002,0.0,0.07000001,0.09,0.14,0.01,0.17,0.1,0.17,0.04,0.2,0.16000001,0.01,0.14000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_temp_avg_celsius,0.02,0.01,0.030000001,0.21,0.07000001,0.24000001,0.01,0.0,0.32,0.02,0.09,0.0,0.13000001,0.05,0.01,0.0,0.01,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_temp_max_celsius,0.02,0.01,0.0,0.31,0.09,0.16,0.02,0.4,0.0,0.1,0.120000005,0.0,0.19000001,0.07,0.05,0.0,0.01,0.030000001,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_util_avg_percent,0.01,0.0,0.01,0.17,0.120000005,0.24000001,0.02,0.09,0.07,0.0,0.19000001,0.01,0.01,0.04,0.05,0.0,0.0,0.02,0.19000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
