source,target,strength,edge_type,is_significant,strength_level,source_category,target_category,question_relevance,interpretation,ate,ate_ci_lower,ate_ci_upper,ate_is_significant,ate_confounders_count
hyperparam_learning_rate_x_is_parallel,perf_final_training_loss,0.550000011920929,moderation,yes,very_strong,interaction,performance,other,并行模式调节learning_rate对final_training_loss的效应,-0.9074923707583478,-1.085360875426984,-0.7296238660897116,True,4
hyperparam_learning_rate_x_is_parallel,energy_gpu_temp_max_celsius,0.5,moderation,yes,strong,interaction,mediator,other,并行模式调节learning_rate对gpu_temp_max_celsius的效应,7.8313860097840085,6.296434351866343,9.366337667701675,True,5
hyperparam_epochs_x_is_parallel,energy_gpu_util_avg_percent,0.5,moderation,yes,strong,interaction,mediator,other,并行模式调节epochs对gpu_util_avg_percent的效应,-0.0667160682051578,-0.07979241757336873,-0.05363971883694687,True,1
energy_gpu_temp_max_celsius,energy_gpu_max_watts,0.4500000178813934,mediator,yes,strong,mediator,mediator,Q3,gpu_temp_max_celsius通过某种机制影响gpu_max_watts,-0.9476969812942654,-1.1334455896279414,-0.7619483729605894,True,8
energy_cpu_total_joules,energy_gpu_total_joules,0.4500000178813934,mediator,yes,strong,energy,energy,Q3,cpu_total_joules通过某种机制影响gpu_total_joules,0.41668319023734984,0.33501328495082927,0.4983530955238704,True,2
hyperparam_learning_rate,perf_final_training_loss,0.4500000178813934,main_effect,yes,strong,hyperparam,performance,other,learning_rate直接影响final_training_loss,0.4781063111970596,0.3843974742024359,0.5718151481916833,True,4
hyperparam_learning_rate_x_is_parallel,energy_gpu_max_watts,0.4500000178813934,moderation,yes,strong,interaction,mediator,other,并行模式调节learning_rate对gpu_max_watts的效应,1.0066661066283968,0.8093595497292311,1.2039726635275627,True,3
hyperparam_epochs_x_is_parallel,perf_eval_loss,0.4000000059604645,moderation,yes,strong,interaction,performance,other,并行模式调节epochs对eval_loss的效应,-0.06040911580618867,-0.07224930250420165,-0.04856892910817569,True,2
energy_gpu_min_watts,energy_gpu_avg_watts,0.4000000059604645,mediator,yes,strong,mediator,mediator,Q3,gpu_min_watts通过某种机制影响gpu_avg_watts,0.646864168933246,0.5200787918223299,0.7736495460441623,True,3
hyperparam_epochs,perf_eval_loss,0.4000000059604645,main_effect,yes,strong,hyperparam,performance,other,epochs直接影响eval_loss,0.6278659402365813,0.5048042159502113,0.7509276645229512,True,2
is_parallel,energy_gpu_temp_max_celsius,0.4000000059604645,mode_effect,yes,strong,mode,mediator,other,is_parallel → gpu_temp_max_celsius,1.999155441099551,1.607320974644039,2.390989907555063,True,5
energy_gpu_min_watts,energy_gpu_util_avg_percent,0.4000000059604645,mediator,yes,strong,mediator,mediator,Q3,gpu_min_watts通过某种机制影响gpu_util_avg_percent,0.8345261813711482,0.6709590498224032,0.9980933129198932,True,1
hyperparam_epochs_x_is_parallel,energy_gpu_temp_max_celsius,0.3499999940395355,moderation,yes,strong,interaction,mediator,other,并行模式调节epochs对gpu_temp_max_celsius的效应,1.3351769812643255,1.0734822929365178,1.5968716695921332,True,5
hyperparam_epochs,energy_gpu_max_watts,0.3499999940395355,main_effect,yes,strong,hyperparam,mediator,other,epochs直接影响gpu_max_watts,0.36044579873207183,0.2897984221805857,0.43109317528355795,True,3
energy_gpu_total_joules,energy_cpu_ram_joules,0.3499999940395355,mediator,yes,strong,energy,energy,Q3,gpu_total_joules通过某种机制影响cpu_ram_joules,,,,,0
energy_gpu_temp_max_celsius,energy_gpu_avg_watts,0.3499999940395355,mediator,yes,strong,mediator,mediator,Q3,gpu_temp_max_celsius通过某种机制影响gpu_avg_watts,,,,,0
energy_gpu_util_avg_percent,energy_cpu_ram_joules,0.3499999940395355,mediator,yes,strong,mediator,energy,Q3,gpu_util_avg_percent通过某种机制影响cpu_ram_joules,0.2877552112179627,0.23135518981924202,0.3441552326166834,True,3
energy_gpu_avg_watts,energy_gpu_temp_avg_celsius,0.3499999940395355,mediator,yes,strong,mediator,mediator,Q3,gpu_avg_watts通过某种机制影响gpu_temp_avg_celsius,0.20312231957586024,0.16331034493899163,0.24293429421272886,True,5
energy_gpu_avg_watts,perf_final_training_loss,0.3499999940395355,irrelevant,yes,strong,mediator,performance,Q2,gpu_avg_watts → final_training_loss,0.14598727653735274,0.11737377033603161,0.17460078273867388,True,7
energy_gpu_min_watts,energy_gpu_temp_avg_celsius,0.3499999940395355,mediator,yes,strong,mediator,mediator,Q3,gpu_min_watts通过某种机制影响gpu_temp_avg_celsius,0.3027755409067712,0.24343153488904407,0.3621195469244984,True,2
energy_gpu_max_watts,energy_gpu_avg_watts,0.3499999940395355,mediator,yes,strong,mediator,mediator,Q3,gpu_max_watts通过某种机制影响gpu_avg_watts,0.18097070050568467,0.14550044320657046,0.21644095780479888,True,5
hyperparam_epochs_x_is_parallel,energy_gpu_temp_avg_celsius,0.3499999940395355,moderation,yes,strong,interaction,mediator,other,并行模式调节epochs对gpu_temp_avg_celsius的效应,0.44370043206291904,0.3567351473785869,0.5306657167472512,True,2
hyperparam_l2_regularization_x_is_parallel,energy_gpu_temp_max_celsius,0.3499999940395355,moderation,yes,strong,interaction,mediator,other,并行模式调节l2_regularization对gpu_temp_max_celsius的效应,-0.8204680613026069,-0.9812798013179178,-0.6596563212872959,True,5
energy_cpu_total_joules,energy_cpu_pkg_joules,0.3000000119209289,mediator,yes,strong,energy,energy,Q3,cpu_total_joules通过某种机制影响cpu_pkg_joules,,,,,0
hyperparam_epochs,perf_final_training_loss,0.3000000119209289,main_effect,yes,strong,hyperparam,performance,other,epochs直接影响final_training_loss,-0.2258567313676556,-0.2701246507157161,-0.1815888120195951,True,4
hyperparam_learning_rate_x_is_parallel,energy_gpu_avg_watts,0.3000000119209289,moderation,yes,strong,interaction,mediator,other,并行模式调节learning_rate对gpu_avg_watts的效应,-1.0405967954736037,-1.2445537673864302,-0.8366398235607774,True,3
energy_gpu_min_watts,perf_eval_samples_per_second,0.3000000119209289,irrelevant,yes,strong,mediator,performance,Q2,gpu_min_watts → eval_samples_per_second,-0.9733597466890352,-1.1641382570400862,-0.7825812363379843,True,0
energy_gpu_avg_watts,energy_gpu_temp_max_celsius,0.3000000119209289,mediator,yes,strong,mediator,mediator,Q3,gpu_avg_watts通过某种机制影响gpu_temp_max_celsius,,,,,0
hyperparam_learning_rate,energy_gpu_max_watts,0.3000000119209289,main_effect,yes,strong,hyperparam,mediator,other,learning_rate直接影响gpu_max_watts,0.4598472637553461,0.3697172000592983,0.5499773274513939,True,3
energy_gpu_min_watts,energy_gpu_temp_max_celsius,0.3000000119209289,mediator,yes,strong,mediator,mediator,Q3,gpu_min_watts通过某种机制影响gpu_temp_max_celsius,0.15756606432496964,0.12668311571727559,0.1884490129326637,True,5
energy_cpu_ram_joules,energy_cpu_total_joules,0.3000000119209289,mediator,yes,strong,energy,energy,Q3,cpu_ram_joules通过某种机制影响cpu_total_joules,0.6897372232244808,0.5545487274724826,0.824925718976479,True,3
energy_gpu_temp_avg_celsius,perf_final_training_loss,0.3000000119209289,irrelevant,yes,strong,mediator,performance,Q2,gpu_temp_avg_celsius → final_training_loss,-0.10061947330260318,-0.1203408900699134,-0.08089805653529296,True,6
energy_cpu_ram_joules,energy_gpu_total_joules,0.3000000119209289,mediator,yes,strong,energy,energy,Q3,cpu_ram_joules通过某种机制影响gpu_total_joules,,,,,0
energy_cpu_pkg_joules,energy_cpu_total_joules,0.3000000119209289,mediator,yes,strong,energy,energy,Q3,cpu_pkg_joules通过某种机制影响cpu_total_joules,,,,,0
energy_gpu_min_watts,perf_eval_loss,0.3000000119209289,irrelevant,yes,strong,mediator,performance,Q2,gpu_min_watts → eval_loss,0.11404733490065919,0.09169405726012998,0.13640061254118838,True,2
