experiment_id,timestamp,repository,model,training_success,duration_seconds,retries,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_learning_rate,hyperparam_seed,perf_map,perf_rank1,perf_rank5,perf_test_accuracy,perf_test_loss,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent
examples_mnist_ff_002,2025-11-15T16:54:19.379192,examples,mnist_ff,True,8.728668451309204,0,32,,1,0.01,1334,,,,,,256.85,19.95,276.8,80.66714285714285,91.47,72.74,564.67,51.285714285714285,52.0,4.571428571428571,28.0
examples_mnist_004,2025-11-15T16:56:10.629526,examples,mnist,True,21.244285106658936,0,32,,1,0.01,1334,,,,93.0,0.2335,822.98,55.11,878.09,69.50099999999999,91.72,4.63,1390.0199999999998,48.75,50.0,10.9,35.0
examples_mnist_006,2025-11-15T16:58:00.630633,examples,mnist,True,19.935012817382812,0,32,,1,0.01,1334,,,,93.0,0.2335,688.29,47.73,736.02,146.2984210526316,181.78,92.01,2779.67,59.26315789473684,62.0,41.68421052631579,73.0
examples_mnist_rnn_008,2025-11-15T17:00:00.050250,examples,mnist_rnn,True,29.4134042263031,0,32,,1,0.01,1334,,,,39.0,1.8724,1240.24,78.11,1318.35,307.98071428571427,311.54,303.95,8623.46,76.21428571428571,79.0,98.67857142857143,99.0
examples_mnist_rnn_010,2025-11-15T17:01:57.728641,examples,mnist_rnn,True,27.672410011291504,0,32,,1,0.01,1334,,,,39.0,1.8724,1118.13,66.44,1184.57,279.24192307692306,285.1,267.8,7260.289999999999,76.0,78.0,91.46153846153847,94.0
examples_mnist_rnn_012,2025-11-15T17:03:55.777902,examples,mnist_rnn,True,28.04251790046692,0,32,,1,0.01,1334,,,,39.0,1.8724,1149.63,71.94,1221.57,215.23555555555555,226.35,206.38,5811.36,72.51851851851852,74.0,59.925925925925924,74.0
VulBERTa_mlp_014,2025-11-15T17:11:40.562257,VulBERTa,mlp,True,374.77092814445496,0,,,1,3e-05,1334,,,,,,13138.35,940.0,14078.35,240.90986187845323,319.18,4.77,87209.37000000007,74.60220994475138,83.0,75.853591160221,100.0
examples_siamese_016,2025-11-15T17:13:59.966916,examples,siamese,True,49.39832377433777,0,32,,1,0.01,1334,,,,89.0,0.0003,1821.84,127.42,1949.26,296.07104166666676,316.02,289.13,14211.410000000005,82.10416666666667,83.0,99.52083333333333,100.0
Person_reID_baseline_pytorch_pcb_018,2025-11-15T17:19:52.379145,Person_reID_baseline_pytorch,pcb,True,262.39376640319824,0,,0.5,1,0.05,1334,0.501379,0.751485,0.881235,,,10880.54,752.06,11632.6,240.08580392156867,316.96,4.79,61221.88000000001,77.51764705882353,84.0,82.87450980392157,100.0
examples_mnist_ff_020,2025-11-15T17:21:31.389296,examples,mnist_ff,True,9.004372119903564,0,32,,1,0.01,1334,,,,,,283.72,21.44,305.16,279.47249999999997,283.29,272.02,2235.7799999999997,79.25,80.0,81.5,83.0
Person_reID_baseline_pytorch_pcb_022,2025-11-15T17:59:19.915355,Person_reID_baseline_pytorch,pcb,True,2178.4616816043854,0,,0.5,1,0.05,1334,0.501382,0.751485,0.881235,,,145633.58,5514.17,151147.75,102.3800336134454,311.3,7.28,182748.36000000004,64.5641456582633,83.0,7.052100840336134,99.0
Person_reID_baseline_pytorch_densenet121_024,2025-11-15T18:03:25.249788,Person_reID_baseline_pytorch,densenet121,True,155.28354811668396,0,,0.5,1,0.05,1334,0.419902,0.663005,0.82215,,,6559.42,447.27,7006.69,217.33953333333326,308.76,5.03,32600.92999999999,73.57333333333334,82.0,60.10666666666667,100.0
