source,target,strength,edge_type,is_significant,strength_level,source_category,target_category,question_relevance,interpretation
hyperparam_learning_rate_x_is_parallel,perf_final_training_loss,0.550000011920929,moderation,yes,very_strong,interaction,performance,other,并行模式调节learning_rate对final_training_loss的效应
hyperparam_learning_rate_x_is_parallel,energy_gpu_temp_max_celsius,0.5,moderation,yes,strong,interaction,mediator,other,并行模式调节learning_rate对gpu_temp_max_celsius的效应
hyperparam_epochs_x_is_parallel,energy_gpu_util_avg_percent,0.5,moderation,yes,strong,interaction,mediator,other,并行模式调节epochs对gpu_util_avg_percent的效应
energy_gpu_temp_max_celsius,energy_gpu_max_watts,0.4500000178813934,mediator,yes,strong,mediator,mediator,Q3,gpu_temp_max_celsius通过某种机制影响gpu_max_watts
energy_cpu_total_joules,energy_gpu_total_joules,0.4500000178813934,mediator,yes,strong,energy,energy,Q3,cpu_total_joules通过某种机制影响gpu_total_joules
hyperparam_learning_rate,perf_final_training_loss,0.4500000178813934,main_effect,yes,strong,hyperparam,performance,other,learning_rate直接影响final_training_loss
hyperparam_learning_rate_x_is_parallel,energy_gpu_max_watts,0.4500000178813934,moderation,yes,strong,interaction,mediator,other,并行模式调节learning_rate对gpu_max_watts的效应
hyperparam_epochs_x_is_parallel,perf_eval_loss,0.4000000059604645,moderation,yes,strong,interaction,performance,other,并行模式调节epochs对eval_loss的效应
energy_gpu_min_watts,energy_gpu_avg_watts,0.4000000059604645,mediator,yes,strong,mediator,mediator,Q3,gpu_min_watts通过某种机制影响gpu_avg_watts
hyperparam_epochs,perf_eval_loss,0.4000000059604645,main_effect,yes,strong,hyperparam,performance,other,epochs直接影响eval_loss
is_parallel,energy_gpu_temp_max_celsius,0.4000000059604645,mode_effect,yes,strong,mode,mediator,other,is_parallel → gpu_temp_max_celsius
energy_gpu_min_watts,energy_gpu_util_avg_percent,0.4000000059604645,mediator,yes,strong,mediator,mediator,Q3,gpu_min_watts通过某种机制影响gpu_util_avg_percent
hyperparam_epochs_x_is_parallel,energy_gpu_temp_max_celsius,0.3499999940395355,moderation,yes,strong,interaction,mediator,other,并行模式调节epochs对gpu_temp_max_celsius的效应
hyperparam_epochs,energy_gpu_max_watts,0.3499999940395355,main_effect,yes,strong,hyperparam,mediator,other,epochs直接影响gpu_max_watts
energy_gpu_total_joules,energy_cpu_ram_joules,0.3499999940395355,mediator,yes,strong,energy,energy,Q3,gpu_total_joules通过某种机制影响cpu_ram_joules
energy_gpu_temp_max_celsius,energy_gpu_avg_watts,0.3499999940395355,mediator,yes,strong,mediator,mediator,Q3,gpu_temp_max_celsius通过某种机制影响gpu_avg_watts
energy_gpu_util_avg_percent,energy_cpu_ram_joules,0.3499999940395355,mediator,yes,strong,mediator,energy,Q3,gpu_util_avg_percent通过某种机制影响cpu_ram_joules
energy_gpu_avg_watts,energy_gpu_temp_avg_celsius,0.3499999940395355,mediator,yes,strong,mediator,mediator,Q3,gpu_avg_watts通过某种机制影响gpu_temp_avg_celsius
energy_gpu_avg_watts,perf_final_training_loss,0.3499999940395355,irrelevant,yes,strong,mediator,performance,Q2,gpu_avg_watts → final_training_loss
energy_gpu_min_watts,energy_gpu_temp_avg_celsius,0.3499999940395355,mediator,yes,strong,mediator,mediator,Q3,gpu_min_watts通过某种机制影响gpu_temp_avg_celsius
energy_gpu_max_watts,energy_gpu_avg_watts,0.3499999940395355,mediator,yes,strong,mediator,mediator,Q3,gpu_max_watts通过某种机制影响gpu_avg_watts
hyperparam_epochs_x_is_parallel,energy_gpu_temp_avg_celsius,0.3499999940395355,moderation,yes,strong,interaction,mediator,other,并行模式调节epochs对gpu_temp_avg_celsius的效应
hyperparam_l2_regularization_x_is_parallel,energy_gpu_temp_max_celsius,0.3499999940395355,moderation,yes,strong,interaction,mediator,other,并行模式调节l2_regularization对gpu_temp_max_celsius的效应
energy_cpu_total_joules,energy_cpu_pkg_joules,0.3000000119209289,mediator,yes,strong,energy,energy,Q3,cpu_total_joules通过某种机制影响cpu_pkg_joules
hyperparam_epochs,perf_final_training_loss,0.3000000119209289,main_effect,yes,strong,hyperparam,performance,other,epochs直接影响final_training_loss
hyperparam_learning_rate_x_is_parallel,energy_gpu_avg_watts,0.3000000119209289,moderation,yes,strong,interaction,mediator,other,并行模式调节learning_rate对gpu_avg_watts的效应
energy_gpu_min_watts,perf_eval_samples_per_second,0.3000000119209289,irrelevant,yes,strong,mediator,performance,Q2,gpu_min_watts → eval_samples_per_second
energy_gpu_avg_watts,energy_gpu_temp_max_celsius,0.3000000119209289,mediator,yes,strong,mediator,mediator,Q3,gpu_avg_watts通过某种机制影响gpu_temp_max_celsius
hyperparam_learning_rate,energy_gpu_max_watts,0.3000000119209289,main_effect,yes,strong,hyperparam,mediator,other,learning_rate直接影响gpu_max_watts
energy_gpu_min_watts,energy_gpu_temp_max_celsius,0.3000000119209289,mediator,yes,strong,mediator,mediator,Q3,gpu_min_watts通过某种机制影响gpu_temp_max_celsius
energy_cpu_ram_joules,energy_cpu_total_joules,0.3000000119209289,mediator,yes,strong,energy,energy,Q3,cpu_ram_joules通过某种机制影响cpu_total_joules
