,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,model_mnist_ff,model_mnist_rnn,model_siamese,hyperparam_batch_size,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,perf_test_accuracy,hyperparam_l2_regularization,model_hrnet18,model_pcb,hyperparam_dropout,hyperparam_alpha,hyperparam_kfold,hyperparam_max_iter
energy_cpu_pkg_joules,0.0,0.25,0.15,0.1,0.0,0.05,0.2,0.1,0.0,0.2,0.05,0.2,0.0,0.05,0.3,0.1,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_cpu_ram_joules,0.05,0.0,0.1,0.1,0.0,0.2,0.2,0.1,0.1,0.1,0.0,0.05,0.0,0.15,0.05,0.05,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_cpu_total_joules,0.25,0.3,0.0,0.0,0.0,0.0,0.2,0.05,0.05,0.1,0.05,0.05,0.0,0.1,0.05,0.15,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_avg_watts,0.0,0.0,0.0,0.0,0.35,0.1,0.0,0.25,0.4,0.25,0.4,0.0,0.25,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_max_watts,0.0,0.0,0.0,0.15,0.0,0.05,0.0,0.15,0.05,0.25,0.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_min_watts,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.15,0.1,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_total_joules,0.2,0.05,0.25,0.2,0.0,0.1,0.0,0.2,0.15,0.2,0.0,0.35,0.1,0.35,0.0,0.35,0.1,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_temp_avg_celsius,0.05,0.0,0.0,0.25,0.0,0.2,0.0,0.0,0.35,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_temp_max_celsius,0.0,0.0,0.0,0.2,0.1,0.25,0.05,0.3,0.0,0.05,0.15,0.0,0.25,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_util_avg_percent,0.05,0.0,0.05,0.15,0.1,0.3,0.0,0.1,0.0,0.0,0.1,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_util_max_percent,0.05,0.0,0.0,0.15,0.4,0.25,0.0,0.0,0.1,0.3,0.0,0.05,0.0,0.0,0.2,0.0,0.0,0.35,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_mnist_ff,0.05,0.05,0.0,0.15,0.1,0.2,0.05,0.15,0.05,0.4,0.2,0.0,0.25,0.45000002,0.45000002,0.0,0.0,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_mnist_rnn,0.0,0.0,0.0,0.25,0.25,0.2,0.0,0.3,0.0,0.4,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_siamese,0.0,0.0,0.0,0.2,0.3,0.2,0.0,0.2,0.1,0.25,0.0,0.05,0.05,0.0,0.2,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_batch_size,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_learning_rate,0.25,0.15,0.15,0.15,0.05,0.25,0.1,0.1,0.0,0.0,0.0,0.25,0.1,0.0,0.05,0.0,0.2,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_epochs,0.1,0.2,0.2,0.05,0.1,0.2,0.25,0.05,0.1,0.1,0.0,0.15,0.1,0.3,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_seed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perf_test_accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_l2_regularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_hrnet18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_pcb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
