source,target,edge_weight,ate,ci_lower,ci_upper,se,p_value,n_confounders
energy_cpu_ram_joules,energy_cpu_pkg_joules,0.3166667,0.12366893867145302,0.09942982669184823,0.14790805065105783,0.012366893867145307,0.0,10
energy_cpu_ram_joules,energy_gpu_min_watts,0.33333334,1.2496917684360498,1.004752181822584,1.4946313550495156,0.124969176843605,0.0,10
energy_gpu_avg_watts,energy_gpu_min_watts,0.3166667,1.776830496868395,1.4285717194821896,2.1250892742546004,0.17768304968683948,0.0,10
energy_gpu_max_watts,hyperparam_seed,0.35,0.6927380673543069,0.5569614061528627,0.828514728555751,0.0692738067354307,0.0,10
energy_gpu_max_watts,perf_test_accuracy,0.41666666,-0.4460490263999609,-0.5334746355743533,-0.35862341722556856,0.0446049026399961,0.0,10
energy_gpu_temp_avg_celsius,energy_gpu_min_watts,0.6333334,1.4488304734796504,1.1648597006776389,1.732801246281662,0.1448830473479651,0.0,10
energy_gpu_temp_max_celsius,energy_gpu_avg_watts,0.3166667,0.3628646496972356,0.29174317835657737,0.4339861210378938,0.03628646496972358,0.0,10
energy_gpu_temp_max_celsius,energy_gpu_min_watts,0.3166667,0.12052401739883314,0.09690130998866185,0.14414672480900445,0.012052401739883317,0.0,10
energy_gpu_temp_max_celsius,energy_gpu_temp_avg_celsius,0.5,1.0547535239728705,0.8480218332741878,1.2614852146715532,0.10547535239728709,0.0,10
energy_gpu_util_max_percent,energy_gpu_max_watts,0.51666665,0.5173271710333451,0.4159310455108095,0.6187232965558808,0.051732717103334505,0.0,10
energy_gpu_util_max_percent,energy_gpu_min_watts,0.41666666,3.770605538823109,3.0315668532137794,4.509644224432439,0.377060553882311,0.0,10
model_mnist_ff,energy_gpu_avg_watts,0.38333333,-0.046026892967615654,-0.35528988852468757,0.2632361025894563,0.15778724263115915,0.7705142922905726,10
model_mnist_ff,energy_gpu_min_watts,0.45000002,0.16875620981857375,-0.2192609026958987,0.5567733223330462,0.19796791454820023,0.39396869193159834,10
model_mnist_ff,energy_gpu_temp_max_celsius,0.31666666,-0.4894643279508408,-0.736885305661073,-0.24204335024060863,0.12623519270930214,0.00010557872847005711,10
model_mnist_ff,hyperparam_seed,0.45000002,-0.4605731118400952,-0.6989971597753952,-0.22214906390479516,0.1216449224159694,0.00015296297584077578,10
model_mnist_ff,perf_test_accuracy,1.0,-1.5841334993700218,-1.9446191807255755,-1.223647818014468,0.18392126599773148,0.0,10
model_mnist_rnn,energy_gpu_min_watts,0.4,0.40305399543149967,0.12497051507398166,0.6811374757890176,0.14187932671301937,0.004499733816369256,10
model_mnist_rnn,model_mnist_ff,0.3166667,-0.391304347826087,-0.47302902699453775,-0.3095796686576362,0.04169626488186264,0.0,10
model_mnist_rnn,perf_test_accuracy,0.6666667,-0.1383161950621471,-0.44155491087492865,0.16492252075063446,0.1547136305167253,0.3713142505609799,10
model_siamese,energy_gpu_max_watts,0.4333333,0.2247352469567272,0.011256571412280592,0.4382139225011738,0.10891769160430949,0.03907944954662712,10
model_siamese,energy_gpu_min_watts,0.53333336,-0.3307535065363578,-0.6900754558904163,0.0285684428177006,0.18332752518064208,0.07120510065559515,10
model_siamese,energy_gpu_util_avg_percent,0.38333333,0.7062632744767202,0.5188977159102506,0.8936288330431899,0.09559467273799471,1.48991929904696e-13,10
model_siamese,model_mnist_ff,0.3166667,-0.391304347826087,-0.47302902699453775,-0.3095796686576362,0.04169626488186264,0.0,10
model_siamese,hyperparam_seed,0.35,0.6242596545161447,0.22153882407974584,1.0269804849525437,0.20546981144714233,0.002379910479325842,10
hyperparam_batch_size,energy_gpu_avg_watts,0.55,0.09130479277704509,0.07340905339274426,0.10920053216134593,0.009130479277704507,0.0,10
hyperparam_batch_size,energy_gpu_max_watts,0.6333334,-0.018326021007264943,-0.021917921124688874,-0.014734120889841015,0.0018326021007264947,0.0,10
hyperparam_batch_size,energy_gpu_temp_avg_celsius,0.73333335,0.03614931647012625,0.029064050441981504,0.043234582498270994,0.003614931647012625,0.0,10
hyperparam_batch_size,energy_gpu_util_avg_percent,0.5,0.16479376023138687,0.13249418322603504,0.1970933372367387,0.016479376023138686,0.0,10
hyperparam_batch_size,energy_gpu_util_max_percent,0.35,0.03302281257003954,0.026550341306311794,0.03949528383376729,0.0033022812570039535,0.0,10
hyperparam_batch_size,model_mnist_rnn,0.43333337,-0.08034140869478405,-0.09608832479896173,-0.06459449259060637,0.008034140869478408,0.0,10
hyperparam_epochs,energy_gpu_min_watts,0.31666666,0.010285070959187464,0.00826919705118672,0.012300944867188208,0.0010285070959187468,0.0,10
hyperparam_epochs,perf_test_accuracy,0.41666666,0.0023261545505679215,0.001870228258656609,0.002782080842479234,0.00023261545505679212,0.0,10
hyperparam_seed,energy_gpu_min_watts,0.4666667,-0.03071722247366042,-0.03673779807849786,-0.024696646868822975,0.003071722247366043,0.0,10
