experiment_id,timestamp,repository,model,training_success,duration_seconds,retries,hyperparam_dropout,hyperparam_epochs,hyperparam_learning_rate,hyperparam_seed,hyperparam_weight_decay,perf_map,perf_rank1,perf_rank5,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent
VulBERTa_mlp_001,2025-12-06T23:16:47.619158,VulBERTa,mlp,True,5113.506541252136,0,,16,3.512885802156829e-05,7572,0.0002078083759177021,,,,148800.66,11658.77,160459.43,222.8212226460557,319.44,3.77,1109872.5100000035,77.54085524994981,84.0,89.82553704075487,100.0
VulBERTa_mlp_002,2025-12-07T00:25:57.048470,VulBERTa,mlp,True,4146.175788402557,0,,13,2.3551672546759903e-05,1442,0.0008136061951120813,,,,120017.07,9399.74,129416.81,221.3220312112955,319.25,5.9,893477.0399999999,77.90487986128313,84.0,89.44785731979192,100.0
VulBERTa_mlp_003,2025-12-07T01:55:42.278007,VulBERTa,mlp,True,5381.929689407349,0,,17,2.056676710708977e-05,4287,4.719110412789888e-05,,,,155980.3,12127.05,168107.35,225.95992941625306,319.42,5.47,1184481.9499999986,78.1755055322396,84.0,89.55284242655475,100.0
VulBERTa_mlp_004,2025-12-07T03:35:36.114090,VulBERTa,mlp,True,5990.543906211853,0,,19,1.69379609808874e-05,4801,1.7778253650744965e-05,,,,173748.8,13570.1,187318.9,224.5648174807207,319.66,5.85,1310335.7100000053,78.04815766923736,84.0,89.70899742930591,100.0
VulBERTa_mlp_005,2025-12-07T04:34:37.275502,VulBERTa,mlp,True,3538.063109397888,0,,11,3.6189347175391756e-05,6048,1.0342038135253116e-05,,,,102502.09,8024.11,110526.2,224.83869956458653,319.13,5.83,774569.3200000006,78.24034833091437,84.0,88.9732946298984,100.0
VulBERTa_mlp_006,2025-12-07T06:09:31.375363,VulBERTa,mlp,True,5690.836540222168,0,,18,2.0300180363040152e-05,9670,1.0965420517115325e-05,,,,165151.93,12851.62,178003.55,227.45127164502225,319.37,5.53,1260989.8500000034,78.3277417027417,83.0,89.33567821067821,100.0
VulBERTa_mlp_007,2025-12-07T07:18:24.673636,VulBERTa,mlp,True,4130.135413169861,0,,13,2.3878693991998133e-05,2775,2.2151760908432456e-05,,,,120572.81,9334.3,129907.11,229.50827697662834,318.86,5.44,923082.2899999992,78.42093485827947,84.0,89.19990054699154,100.0
Person_reID_baseline_pytorch_densenet121_008,2025-12-07T08:36:31.995386,Person_reID_baseline_pytorch,densenet121,True,4623.787818670273,0,0.5666375197443834,85,0.07430843245069718,5522,,0.725245,0.887173,0.961698,151057.77,12158.58,163216.35,232.19781215223702,291.06,11.0,1043264.770000001,78.6443356332072,84.0,83.73447585132428,99.0
Person_reID_baseline_pytorch_densenet121_009,2025-12-07T09:40:27.808535,Person_reID_baseline_pytorch,densenet121,True,3832.355693101883,0,0.42286930555907054,71,0.03396645158768199,5289,,0.740512,0.896378,0.958432,125808.76,10072.71,135881.47,228.70650214592254,289.86,14.32,852617.8399999993,78.32618025751073,84.0,84.14994635193133,99.0
Person_reID_baseline_pytorch_densenet121_010,2025-12-07T11:02:03.216500,Person_reID_baseline_pytorch,densenet121,True,4891.830006599426,0,0.3905070975289366,90,0.0274165593810189,1797,,0.717806,0.884501,0.960214,160222.69,12877.85,173100.54,226.2325267800882,289.76,14.04,1077093.0599999998,78.60785549254358,84.0,84.1818945599664,99.0
Person_reID_baseline_pytorch_densenet121_011,2025-12-07T11:44:43.543499,Person_reID_baseline_pytorch,densenet121,True,2557.0195183753967,0,0.48583273275984834,46,0.04876270233047313,2567,,0.739777,0.895784,0.961401,84028.73,6727.35,90756.08,214.24556941649894,290.51,13.64,532400.2399999999,77.9830985915493,84.0,85.00241448692152,99.0
Person_reID_baseline_pytorch_densenet121_012,2025-12-07T12:32:18.144597,Person_reID_baseline_pytorch,densenet121,True,2851.2716014385223,0,0.366983324404857,51,0.0655875670649268,831,,0.727889,0.899644,0.959026,93415.71,7440.81,100856.52,214.10224386724371,288.81,14.1,593491.4199999996,78.244227994228,84.0,84.63383838383838,99.0
