source,target,strength,edge_type,is_significant,strength_level,source_category,target_category,question_relevance,interpretation,ate,ci_lower,ci_upper,ate_computed,error_message
hyperparam_learning_rate_x_is_parallel,perf_final_training_loss,0.550000011920929,moderation,True,very_strong,interaction,performance,other,并行模式调节learning_rate对final_training_loss的效应,0.07759166666666661,0.021183192641208264,0.13400014069212496,True,
hyperparam_learning_rate_x_is_parallel,energy_gpu_temp_max_celsius,0.5,moderation,True,strong,interaction,mediator,other,并行模式调节learning_rate对gpu_temp_max_celsius的效应,0.6969696969696884,0.2889199331740201,1.1050194607653565,True,
hyperparam_epochs_x_is_parallel,energy_gpu_util_avg_percent,0.5,moderation,False,strong,interaction,mediator,other,并行模式调节epochs对gpu_util_avg_percent的效应,-0.8654270500643406,-3.3693144917040527,1.6384603915753715,True,
energy_gpu_temp_max_celsius,energy_gpu_max_watts,0.4500000178813934,mediator,False,strong,mediator,mediator,Q3,gpu_temp_max_celsius通过某种机制影响gpu_max_watts,-0.15363636363639444,-0.5360021823395971,0.2287294550668082,True,
energy_cpu_total_joules,energy_gpu_total_joules,0.4500000178813934,mediator,True,strong,energy,energy,Q3,cpu_total_joules通过某种机制影响gpu_total_joules,221990.99249999993,131472.74391078585,312509.241089214,True,
hyperparam_learning_rate,perf_final_training_loss,0.4500000178813934,main_effect,True,strong,hyperparam,performance,other,learning_rate直接影响final_training_loss,0.07241666666666668,0.015678146635907955,0.12915518669742543,True,
hyperparam_learning_rate_x_is_parallel,energy_gpu_max_watts,0.4500000178813934,moderation,False,strong,interaction,mediator,other,并行模式调节learning_rate对gpu_max_watts的效应,-0.36045454545450184,-0.7274347688803405,0.006525677971336852,True,
hyperparam_epochs_x_is_parallel,perf_eval_loss,0.4000000059604645,moderation,False,strong,interaction,performance,other,并行模式调节epochs对eval_loss的效应,0.037410596569815824,-0.02286035929386676,0.09768155243349841,True,
energy_gpu_min_watts,energy_gpu_avg_watts,0.4000000059604645,mediator,True,strong,mediator,mediator,Q3,gpu_min_watts通过某种机制影响gpu_avg_watts,6.988965366196908,3.5659645013969783,10.411966230996837,True,
hyperparam_epochs,perf_eval_loss,0.4000000059604645,main_effect,False,strong,hyperparam,performance,other,epochs直接影响eval_loss,0.0501228332519531,-0.012331476793060452,0.11257714329696666,True,
is_parallel,energy_gpu_temp_max_celsius,0.4000000059604645,mode_effect,True,strong,mode,mediator,other,is_parallel → gpu_temp_max_celsius,0.3676595744680782,0.17145460439028254,0.5638645445458739,True,
energy_gpu_min_watts,energy_gpu_util_avg_percent,0.4000000059604645,mediator,True,strong,mediator,mediator,Q3,gpu_min_watts通过某种机制影响gpu_util_avg_percent,5.130437273982935,4.056623939005195,6.204250608960675,True,
hyperparam_epochs_x_is_parallel,energy_gpu_temp_max_celsius,0.3499999940395355,moderation,False,strong,interaction,mediator,other,并行模式调节epochs对gpu_temp_max_celsius的效应,0.2912087912087884,-0.04746596680541071,0.6298835492229875,True,
