source,target,strength,edge_type,is_significant,strength_level,source_category,target_category,question_relevance,interpretation,ate,ci_lower,ci_upper,ate_computed,error_message
hyperparam_kfold_x_is_parallel,perf_top1_accuracy,0.6500000357627869,moderation,False,very_strong,interaction,performance,other,并行模式调节kfold对top1_accuracy的效应,-0.0018798076923076112,-0.005045870858744108,0.0012862554741288855,True,
energy_gpu_util_max_percent,energy_gpu_util_avg_percent,0.6000000238418579,mediator,True,very_strong,mediator,mediator,Q3,gpu_util_max_percent通过某种机制影响gpu_util_avg_percent,,,,True,
energy_gpu_util_max_percent,energy_gpu_total_joules,0.4500000178813934,mediator,True,strong,mediator,energy,Q3,gpu_util_max_percent通过某种机制影响gpu_total_joules,,,,True,
energy_gpu_util_avg_percent,perf_top20_accuracy,0.4500000178813934,irrelevant,False,strong,mediator,performance,Q2,gpu_util_avg_percent → top20_accuracy,-0.0007999999999998009,-0.0017022797613137565,0.00010227976131415477,True,
energy_gpu_temp_max_celsius,energy_gpu_temp_avg_celsius,0.4000000059604645,mediator,True,strong,mediator,mediator,Q3,gpu_temp_max_celsius通过某种机制影响gpu_temp_avg_celsius,14.018270301304632,11.297991219376634,16.73854938323263,True,
energy_gpu_temp_max_celsius,energy_gpu_util_max_percent,0.4000000059604645,mediator,True,strong,mediator,mediator,Q3,gpu_temp_max_celsius通过某种机制影响gpu_util_max_percent,7.925000000000001,6.163283885903673,9.68671611409633,True,
energy_gpu_min_watts,energy_gpu_max_watts,0.4000000059604645,mediator,True,strong,mediator,mediator,Q3,gpu_min_watts通过某种机制影响gpu_max_watts,32.70288888888892,22.21463117625014,43.191146601527706,True,
hyperparam_max_iter,perf_top10_accuracy,0.4000000059604645,main_effect,False,strong,hyperparam,performance,other,max_iter直接影响top10_accuracy,0.0004777777777779102,-0.0008767103179440261,0.0018322658734998465,True,
hyperparam_kfold_x_is_parallel,energy_gpu_temp_avg_celsius,0.3499999940395355,moderation,False,strong,interaction,mediator,other,并行模式调节kfold对gpu_temp_avg_celsius的效应,-2.617498794431917,-10.894297809712569,5.659300220848735,True,
energy_cpu_ram_joules,energy_cpu_total_joules,0.3499999940395355,mediator,True,strong,energy,energy,Q3,cpu_ram_joules通过某种机制影响cpu_total_joules,22481.61977777777,16282.790210194627,28680.449345360914,True,
hyperparam_alpha,perf_top20_accuracy,0.3499999940395355,main_effect,False,strong,hyperparam,performance,other,alpha直接影响top20_accuracy,-0.0008666666666669043,-0.002204690416663726,0.00047135708332991756,True,
hyperparam_kfold,perf_top5_accuracy,0.3499999940395355,main_effect,False,strong,hyperparam,performance,other,kfold直接影响top5_accuracy,0.0016249999999999876,-0.0007756922879741442,0.004025692287974119,True,
hyperparam_kfold,perf_top1_accuracy,0.3499999940395355,main_effect,False,strong,hyperparam,performance,other,kfold直接影响top1_accuracy,0.0018846153846154845,-0.0013621782089246518,0.005131408978155621,True,
energy_gpu_temp_avg_celsius,energy_gpu_total_joules,0.3499999940395355,mediator,True,strong,mediator,energy,Q3,gpu_temp_avg_celsius通过某种机制影响gpu_total_joules,41229.40025691699,33394.136263371336,49064.66425046264,True,
energy_gpu_avg_watts,energy_gpu_max_watts,0.3499999940395355,mediator,True,strong,mediator,mediator,Q3,gpu_avg_watts通过某种机制影响gpu_max_watts,33.086888888888915,22.651339402903037,43.522438374874795,True,
energy_gpu_max_watts,energy_gpu_util_avg_percent,0.3499999940395355,mediator,True,strong,mediator,mediator,Q3,gpu_max_watts通过某种机制影响gpu_util_avg_percent,3.0648681238193696,2.4840437083344526,3.6456925393042865,True,
energy_gpu_util_avg_percent,perf_top10_accuracy,0.3499999940395355,irrelevant,False,strong,mediator,performance,Q2,gpu_util_avg_percent → top10_accuracy,-0.0006222222222221907,-0.001506010781625901,0.00026156633718151976,True,
