,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,model_mnist_ff,model_mnist_rnn,model_siamese,hyperparam_batch_size,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,hyperparam_l2_regularization,model_hrnet18,model_pcb,hyperparam_dropout,perf_map,perf_rank1,perf_rank5,hyperparam_alpha,hyperparam_kfold,hyperparam_max_iter
energy_cpu_pkg_joules,0.0,0.34285718,0.30476192,0.0,0.02857143,0.13333334,0.18095241,0.04761905,0.00952381,0.0,0.02857143,0.0,0.0,0.0,0.0,0.02857143,0.0,0.06666667,0.0,0.05714286,0.0,0.08571429,0.03809524,0.01904762,0.04761905,0.0,0.0,0.0
energy_cpu_ram_joules,0.24761908,0.0,0.2857143,0.0,0.03809524,0.05714286,0.17142858,0.01904762,0.00952381,0.057142857,0.00952381,0.0,0.0,0.0,0.0,0.01904762,0.00952381,0.03809524,0.0,0.03809524,0.00952381,0.02857143,0.02857143,0.05714286,0.00952381,0.0,0.0,0.0
energy_cpu_total_joules,0.31428576,0.2761905,0.0,0.00952381,0.03809524,0.05714286,0.22857144,0.00952381,0.01904762,0.04761905,0.00952381,0.0,0.0,0.0,0.0,0.01904762,0.0,0.05714286,0.0,0.047619052,0.0,0.03809524,0.02857143,0.03809524,0.00952381,0.0,0.0,0.0
energy_gpu_avg_watts,0.11428572,0.1809524,0.13333334,0.0,0.123809524,0.104761906,0.21904762,0.25714287,0.20000002,0.047619052,0.057142857,0.0,0.0,0.0,0.0,0.23809524,0.104761906,0.114285715,0.0,0.23809525,0.01904762,0.20000002,0.04761905,0.03809524,0.00952381,0.0,0.0,0.0
energy_gpu_max_watts,0.114285715,0.1904762,0.16190477,0.07619048,0.0,0.16190478,0.104761906,0.06666667,0.21904767,0.36190477,0.2761905,0.0,0.0,0.0,0.0,0.21904764,0.08571429,0.23809527,0.0,0.25714287,0.33333334,0.20000002,0.08571429,0.06666667,0.07619048,0.0,0.0,0.0
energy_gpu_min_watts,0.13333334,0.0952381,0.123809524,0.08571429,0.0,0.0,0.114285715,0.06666667,0.095238104,0.0,0.00952381,0.0,0.0,0.0,0.0,0.08571429,0.0,0.095238104,0.0,0.05714286,0.00952381,0.02857143,0.00952381,0.01904762,0.01904762,0.0,0.0,0.0
energy_gpu_total_joules,0.21904762,0.2,0.12380953,0.03809524,0.02857143,0.01904762,0.0,0.03809524,0.00952381,0.00952381,0.01904762,0.0,0.0,0.0,0.0,0.05714286,0.047619052,0.03809524,0.0,0.104761906,0.01904762,0.05714286,0.00952381,0.01904762,0.01904762,0.0,0.0,0.0
energy_gpu_temp_avg_celsius,0.06666667,0.21904764,0.13333334,0.26666668,0.047619052,0.38095242,0.1904762,0.0,0.22857144,0.05714286,0.01904762,0.0,0.0,0.0,0.0,0.20000002,0.057142857,0.21904762,0.0,0.38095242,0.03809524,0.123809524,0.03809524,0.02857143,0.03809524,0.0,0.0,0.0
energy_gpu_temp_max_celsius,0.13333334,0.17142858,0.15238096,0.26666668,0.123809524,0.52380955,0.14285716,0.3904762,0.0,0.104761906,0.13333334,0.0,0.0,0.0,0.0,0.25714287,0.13333334,0.20952381,0.0,0.2,0.07619048,0.22857146,0.02857143,0.057142857,0.01904762,0.0,0.0,0.0
energy_gpu_util_avg_percent,0.13333334,0.06666667,0.08571429,0.06666667,0.18095239,0.123809524,0.123809524,0.02857143,0.11428572,0.0,0.25714287,0.0,0.0,0.0,0.0,0.14285715,0.03809524,0.07619048,0.0,0.15238097,0.34285715,0.05714286,0.03809524,0.114285715,0.104761906,0.0,0.0,0.0
energy_gpu_util_max_percent,0.057142857,0.02857143,0.06666667,0.047619052,0.2952381,0.13333334,0.14285716,0.04761905,0.19047621,0.26666668,0.0,0.0,0.0,0.0,0.0,0.16190478,0.057142857,0.50476193,0.0,0.1809524,0.14285715,0.11428572,0.04761905,0.07619048,0.07619048,0.0,0.0,0.0
model_mnist_ff,0.0,0.00952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_mnist_rnn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_siamese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_batch_size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_learning_rate,0.06666667,0.06666667,0.057142857,0.08571429,0.01904762,0.03809524,0.02857143,0.04761905,0.095238104,0.01904762,0.03809524,0.0,0.0,0.0,0.0,0.0,0.01904762,0.00952381,0.0,0.01904762,0.00952381,0.17142858,0.057142857,0.13333334,0.14285715,0.0,0.0,0.0
